judge,scope,mae,rmse,within1,icc,rho,wkappa,within_rater_rho
pop_mean,overall,1.255467662716128,1.4905636200609607,0.42667410714285714,0.1477987919810484,0.262469005884423,0.0980742126945372,0.2866813674419681
pop_mean,sporty,1.3596533978174603,1.5736600928207731,0.3956473214285714,1.8407857025579967e-18,,0.0,
pop_mean,luxurious,1.2789471394026362,1.5022107453113263,0.4367931547619047,9.85273300081063e-17,,0.0,
pop_mean,modern,1.0928996543278768,1.386245168975671,0.4562872023809524,-5.759251596609565e-17,,0.0,
pop_mean,rugged,1.2889009685905612,1.5057657106273004,0.40647321428571426,1.4663689871427998e-16,,0.0,
pop_mean,preference,1.256937153442106,1.4787891023807016,0.4381696428571429,5.087725901141602e-17,,0.0,
b_nocontext,overall,1.1611235119047618,1.5170924832427497,0.6858854166666667,0.42701412393921545,0.4476475676234484,0.42701048294987115,0.4828131125014935
b_nocontext,sporty,1.1815848214285714,1.527707048124943,0.6771949404761904,0.3814779804226599,0.40921874047346696,0.38146042393419144,0.4579759134709823
b_nocontext,luxurious,1.1253348214285714,1.4488916506713851,0.6972842261904761,0.34463932539341735,0.3955899619701957,0.34462251988750575,0.4460772870948917
b_nocontext,modern,1.0665550595238096,1.3986731213518953,0.7345238095238096,0.2892018632015331,0.30631955000980104,0.28918656794605735,0.3521935370301618
b_nocontext,rugged,1.0813244047619048,1.4939361208882236,0.7178571428571429,0.5088506864519396,0.47711429034697284,0.5088320903980155,0.5546636973709755
b_nocontext,preference,1.3508184523809526,1.6989796501275993,0.6025669642857143,0.1775535782781515,0.28060779921496104,0.1775427130671109,0.32697890830605736
car_mean,overall,1.000872465414876,1.2344178650303554,0.588608630952381,0.5389567932045094,0.6027814499737147,0.5230034084980133,0.6206370754996197
car_mean,sporty,1.0367721529049654,1.2731152756681483,0.5695684523809523,0.5135735974348324,0.5781293183853137,0.5030317068007694,0.5902917990573666
car_mean,luxurious,0.9856732072078054,1.2157343151903093,0.592485119047619,0.5130726059203697,0.5828285587471032,0.49652938356787524,0.5989503063661883
car_mean,modern,0.9554530436701196,1.185268979633717,0.6114955357142857,0.4238734131959224,0.4909071725782074,0.4077445094876923,0.4908298123063733
car_mean,rugged,0.9655131862804854,1.2018429953545118,0.6221726190476191,0.53259366435634,0.5696892298947491,0.5110531128258762,0.5882441245528401
car_mean,preference,1.0609507370110047,1.2925916100976411,0.5473214285714285,0.3818289561771968,0.47740460184745137,0.3703729681317538,0.4847653824743361
b_persona,overall,0.8517559523809524,1.2361415791193635,0.8127678571428572,0.6650712510814047,0.6641427949466228,0.66506793631868,0.5927892025512691
b_persona,sporty,0.8931175595238094,1.2852139334316683,0.8006324404761904,0.6408459558505863,0.6435083553969301,0.6408288312703404,0.5243819411744527
b_persona,luxurious,0.872358630952381,1.2397338493305097,0.8091145833333333,0.619872344623499,0.6193611641373471,0.6198548117768974,0.48861992122171005
b_persona,modern,0.8535342261904761,1.2197073467320687,0.81640625,0.5846348464375499,0.5746597290948323,0.5846167778674753,0.3924745937335047
b_persona,rugged,0.6980282738095238,1.1111064004811313,0.8592261904761904,0.7279227560628264,0.7272913035653664,0.7279080193299354,0.5946050170127628
b_persona,preference,0.9417410714285714,1.3149915149770084,0.7784598214285714,0.5673395098288306,0.574999065549142,0.5673212456942871,0.4103621441525323
g_card_twostage,overall,0.8462872023809525,1.2211245186515605,0.8157440476190476,0.6625784133364941,0.6617645436752371,0.66257508644586,0.5916063996450189
g_card_twostage,sporty,0.8911830357142857,1.2737959022536733,0.8020833333333333,0.6325465119968494,0.6348867760866566,0.6325292222568119,0.5164959287710664
g_card_twostage,luxurious,0.8675223214285714,1.2205290632596282,0.812983630952381,0.6176666562162636,0.6199261605420439,0.6176490843910327,0.4923613491820768
g_card_twostage,modern,0.8521577380952381,1.2080420176091091,0.8169270833333333,0.5767817054654891,0.5665982594135088,0.5767635430774468,0.39170485252035614
g_card_twostage,rugged,0.6962797619047619,1.1068927056278204,0.8592633928571428,0.7249219513388148,0.724560916707809,0.724907113476308,0.5923294671917722
g_card_twostage,preference,0.9242931547619048,1.287919593966885,0.7874627976190476,0.5745136321914917,0.5811912834539845,0.5744954435436067,0.4234957935928628
